# location_in_nm,avg_pixel_intensity_for_each_row
3.213290711864829063e+00,6.110468443150741223e+03
3.226735442876815796e+00,5.977770868079539468e+03
3.240180173888802528e+00,5.910500982631170700e+03
3.253624904900789261e+00,5.941514415696680771e+03
3.267069635912775993e+00,6.024111507659438757e+03
3.280514366924762726e+00,6.177647605743036365e+03
3.293959097936749458e+00,6.319191953262345123e+03
3.307403828948736191e+00,6.443072764946257848e+03
3.320848559960722923e+00,6.435540946826792606e+03
3.334293290972709656e+00,6.337671240182487054e+03
3.347738021984696388e+00,6.161800722855105050e+03
3.361182752996683121e+00,6.002878475163432995e+03
3.374627484008669853e+00,5.896862819455174758e+03
3.388072215020656586e+00,5.905113062028204695e+03
3.401516946032643318e+00,5.961089117854429787e+03
3.414961677044630051e+00,6.099046034637358389e+03
3.428406408056616783e+00,6.247314876476611971e+03
3.441851139068603516e+00,6.384878372908774509e+03
3.455295870080590248e+00,6.443542818406616789e+03
3.468740601092576981e+00,6.372914209802733239e+03
3.482185332104563713e+00,6.208601824811243205e+03
3.495630063116550446e+00,6.032967981936370052e+03
3.509074794128537178e+00,5.894328020445069342e+03
3.522519525140523911e+00,5.872003902658947482e+03
3.535964256152510643e+00,5.921628703897985361e+03
3.549408987164497375e+00,6.044609800991824159e+03
3.562853718176484108e+00,6.207986653853010466e+03
3.576298449188470840e+00,6.344243259828387636e+03
3.589743180200457573e+00,6.451457581547827431e+03
3.603187911212444305e+00,6.426585584472446499e+03
3.616632642224431038e+00,6.279600962184847958e+03
3.630077373236417770e+00,6.080791610364592088e+03
3.643522104248404503e+00,5.915543538110055124e+03
3.656966835260391235e+00,5.836588817738082980e+03
3.670411566272377968e+00,5.876681922507230411e+03
3.683856297284364700e+00,5.971128093856623309e+03
3.697301028296351433e+00,6.152816940231266926e+03
3.710745759308338165e+00,6.287327876245560219e+03
3.724190490320324898e+00,6.411833015328595138e+03
3.737635221332311630e+00,6.438332111221164268e+03
3.751079952344298363e+00,6.338466304379577196e+03
3.764524683356285095e+00,6.132096128330789725e+03
3.777969414368271828e+00,5.946475742917902608e+03
3.791414145380258560e+00,5.823183887030775622e+03
3.804858876392245293e+00,5.834326055496148911e+03
3.818303607404232025e+00,5.912991061652043754e+03
3.831748338416218758e+00,6.102306323613076529e+03
3.845193069428205490e+00,6.264671734767822272e+03
3.858637800440192223e+00,6.386221406958309672e+03
3.872082531452178955e+00,6.456651763020856379e+03
3.885527262464165688e+00,6.395731075294563198e+03
3.898971993476152420e+00,6.214341056983381350e+03
3.912416724488139153e+00,5.987426373976722061e+03
3.925861455500125885e+00,5.839190644305524074e+03
3.939306186512112617e+00,5.791535290226748657e+03
3.952750917524099350e+00,5.852633529260302566e+03
3.966195648536086082e+00,6.008856132611297653e+03
3.979640379548072815e+00,6.219841626390146303e+03
3.993085110560059547e+00,6.331805984387379794e+03
4.006529841572046280e+00,6.428324879767978928e+03
4.019974572584033012e+00,6.403752647287783475e+03
4.033419303596019745e+00,6.275313366511822096e+03
4.046864034608006477e+00,6.037034241054961058e+03
4.060308765619993210e+00,5.860532187685235840e+03
4.073753496631979942e+00,5.778940678389803907e+03
4.087198227643966675e+00,5.804257082792378242e+03
4.100642958655953407e+00,5.931497333970063664e+03
4.114087689667940140e+00,6.164624400240149043e+03
4.127532420679926872e+00,6.312182297178026602e+03
4.140977151691913605e+00,6.403710590868595318e+03
4.154421882703900337e+00,6.425438854168261969e+03
4.167866613715887070e+00,6.323319259081753444e+03
4.181311344727873802e+00,6.120234813829444647e+03
4.194756075739860535e+00,5.887300095772030545e+03
4.208200806751847267e+00,5.789615517774263935e+03
4.221645537763834000e+00,5.762443194836589100e+03
4.235090268775820732e+00,5.857315296707570269e+03
4.248534999787807465e+00,6.061194224131137162e+03
4.261979730799794197e+00,6.267177878296644849e+03
4.275424461811780930e+00,6.346972961344324176e+03
4.288869192823767662e+00,6.400074599959451007e+03
4.302313923835754395e+00,6.324885442521137520e+03
4.315758654847741127e+00,6.176550562011931106e+03
4.329203385859727859e+00,5.930445533941455324e+03
4.342648116871714592e+00,5.796770759649585671e+03
4.356092847883701324e+00,5.754388423970064650e+03
4.369537578895688057e+00,5.804559736648776379e+03
4.382982309907674789e+00,5.983423589352050840e+03
4.396427040919661522e+00,6.213353799423525743e+03
4.409871771931648254e+00,6.331569158109718046e+03
4.423316502943634987e+00,6.380226064891874557e+03
4.436761233955621719e+00,6.348328485258090041e+03
4.450205964967608452e+00,6.217051919459890087e+03
4.463650695979595184e+00,6.012139002010133481e+03
4.477095426991581917e+00,5.807606611837867604e+03
4.490540158003568649e+00,5.760098436071559263e+03
4.503984889015555382e+00,5.758577762784553670e+03
4.517429620027542114e+00,5.904821843723259917e+03
4.530874351039528847e+00,6.119175538904907626e+03
4.544319082051515579e+00,6.289703280121327225e+03
4.557763813063502312e+00,6.336456835564992616e+03
4.571208544075489044e+00,6.337457929536049051e+03
4.584653275087475777e+00,6.218640432097276062e+03
4.598098006099462509e+00,6.064911223260388397e+03
4.611542737111449242e+00,5.841656203864440613e+03
4.624987468123435974e+00,5.756942235767702186e+03
4.638432199135422707e+00,5.746773232290168380e+03
4.651876930147409439e+00,5.846973131471255329e+03
4.665321661159396172e+00,6.054936073084999407e+03
4.678766392171382904e+00,6.249235357565057711e+03
4.692211123183369637e+00,6.335299528199249835e+03
4.705655854195356369e+00,6.345544474359941887e+03
4.719100585207343102e+00,6.254167512364791946e+03
4.732545316219329834e+00,6.106688126113648650e+03
4.745990047231316566e+00,5.909256982880428041e+03
4.759434778243303299e+00,5.757268450291150657e+03
4.772879509255290031e+00,5.741606896036386388e+03
4.786324240267276764e+00,5.789168236977599918e+03
4.799768971279263496e+00,5.974676650149451234e+03
4.813213702291250229e+00,6.174510117613755028e+03
4.826658433303236961e+00,6.300861517084954357e+03
4.840103164315223694e+00,6.334028461409056035e+03
4.853547895327210426e+00,6.273453596355475383e+03
4.866992626339197159e+00,6.123220625540180663e+03
4.880437357351183891e+00,5.952904316638078853e+03
4.893882088363170624e+00,5.774371101138742233e+03
4.907326819375157356e+00,5.734329195804113624e+03
4.920771550387144089e+00,5.762949809720769736e+03
4.934216281399130821e+00,5.909954534531356330e+03
4.947661012411117554e+00,6.122082103452946285e+03
4.961105743423104286e+00,6.278339420071271888e+03
4.974550474435091019e+00,6.349909959956040439e+03
4.987995205447077751e+00,6.320643320279816180e+03
5.001439936459064484e+00,6.177235256760862285e+03
5.014884667471051216e+00,6.005614127804105919e+03
5.028329398483037949e+00,5.811087281320151305e+03
5.041774129495024681e+00,5.730433207253091496e+03
5.055218860507011414e+00,5.741489834540097036e+03
5.068663591518998146e+00,5.839851154243472592e+03
5.082108322530984879e+00,6.039285330921890818e+03
5.095553053542971611e+00,6.223462758160027988e+03
5.108997784554958344e+00,6.323591382179719403e+03
5.122442515566945076e+00,6.342345569313187298e+03
5.135887246578931808e+00,6.222085863922170574e+03
5.149331977590918541e+00,6.048425367807804832e+03
5.162776708602905273e+00,5.845117708035362739e+03
5.176221439614892006e+00,5.727742072487711994e+03
5.189666170626878738e+00,5.735343002244802847e+03
5.203110901638865471e+00,5.799363441042766681e+03
5.216555632650852203e+00,5.972131423780352634e+03
5.230000363662838936e+00,6.181185369442920091e+03
5.243445094674825668e+00,6.318426897244050451e+03
5.256889825686812401e+00,6.372201787971109297e+03
5.270334556698799133e+00,6.295337630576700576e+03
5.283779287710785866e+00,6.118082201199446899e+03
5.297224018722772598e+00,5.913545189708277576e+03
5.310668749734759331e+00,5.737866474734526491e+03
5.324113480746746063e+00,5.727863623171293511e+03
5.337558211758732796e+00,5.766297847052762336e+03
5.351002942770719528e+00,5.895722173971009397e+03
5.364447673782706261e+00,6.103811365753281279e+03
5.377892404794692993e+00,6.281674574708107684e+03
5.391337135806679726e+00,6.358612875617405734e+03
5.404781866818666458e+00,6.334462767984290622e+03
5.418226597830653191e+00,6.177089105359852510e+03
5.431671328842639923e+00,5.977942375540374087e+03
5.445116059854626656e+00,5.769492043813807868e+03
5.458560790866613388e+00,5.709787774493397592e+03
5.472005521878600121e+00,5.759276920364623948e+03
5.485450252890586853e+00,5.851054827146814205e+03
5.498894983902573586e+00,6.044702312219685155e+03
5.512339714914560318e+00,6.255741529494306633e+03
5.525784445926547050e+00,6.372267534103564685e+03
5.539229176938533783e+00,6.377849635265200959e+03
5.552673907950520515e+00,6.261409128586442421e+03
5.566118638962507248e+00,6.061638709651700992e+03
5.579563369974493980e+00,5.844211166532894822e+03
5.593008100986480713e+00,5.709246012644121038e+03
5.606452831998467445e+00,5.737656141527072577e+03
5.619897563010454178e+00,5.813204909611235962e+03
5.633342294022440910e+00,5.970621192476913166e+03
5.646787025034427643e+00,6.195528531313557323e+03
5.660231756046414375e+00,6.355705704085914476e+03
5.673676487058401108e+00,6.385947139498507568e+03
5.687121218070387840e+00,6.307859477719407550e+03
5.700565949082374573e+00,6.134437042416606346e+03
5.714010680094361305e+00,5.916354066900450562e+03
5.727455411106348038e+00,5.739496400344472931e+03
5.740900142118334770e+00,5.709581917525511017e+03
5.754344873130321503e+00,5.792784403058269163e+03
5.767789604142308235e+00,5.931652701173986316e+03
5.781234335154294968e+00,6.151044873092952912e+03
5.794679066166281700e+00,6.354463053051672432e+03
5.808123797178268433e+00,6.424632256431974383e+03
5.821568528190255165e+00,6.371438888251730532e+03
5.835013259202241898e+00,6.226598590905276978e+03
5.848457990214228630e+00,6.017563619255278354e+03
5.861902721226215363e+00,5.808717688954054211e+03
5.875347452238202095e+00,5.710544811339436819e+03
5.888792183250188828e+00,5.750708562671092295e+03
5.902236914262175560e+00,5.888497639494823488e+03
5.915681645274162292e+00,6.087219344777789956e+03
5.929126376286149025e+00,6.313279707598405366e+03
5.942571107298135757e+00,6.434158424646636377e+03
5.956015838310122490e+00,6.409824193484791067e+03
5.969460569322109222e+00,6.285031540850328383e+03
5.982905300334095955e+00,6.105859287412905360e+03
5.996350031346082687e+00,5.886703963315521833e+03
6.009794762358069420e+00,5.739364420804851761e+03
6.023239493370056152e+00,5.728863102155000888e+03
6.036684224382042885e+00,5.848076052613365391e+03
6.050128955394029617e+00,6.059164452674733184e+03
6.063573686406016350e+00,6.282574765109365217e+03
6.077018417418003082e+00,6.458380615973076601e+03
6.090463148429989815e+00,6.479642728168935719e+03
6.103907879441976547e+00,6.377988271967607034e+03
6.117352610453963280e+00,6.204237342675023683e+03
6.130797341465950012e+00,6.008096887004991913e+03
6.144242072477936745e+00,5.805018180107465923e+03
6.157686803489923477e+00,5.742797246643106519e+03
6.171131534501910210e+00,5.802235431108916600e+03
6.184576265513896942e+00,6.011105921470221801e+03
6.198020996525883675e+00,6.236378201791129868e+03
6.211465727537870407e+00,6.427549780650162575e+03
6.224910458549857140e+00,6.513394393860465243e+03
6.238355189561843872e+00,6.448167223417921377e+03
6.251799920573830605e+00,6.280886620882564785e+03
6.265244651585817337e+00,6.105177544805153957e+03
6.278689382597804070e+00,5.898143513642766266e+03
6.292134113609790802e+00,5.774783009750749443e+03
6.305578844621777534e+00,5.809985555025346002e+03
6.319023575633764267e+00,5.964232473882319937e+03
6.332468306645750999e+00,6.229506150164751489e+03
6.345913037657737732e+00,6.412716400918551699e+03
6.359357768669724464e+00,6.554865849544919001e+03
6.372802499681711197e+00,6.544685224897686567e+03
